Title,Body (HTML),Type,Tags,Image Src,Image Position
1985: Black Hole Repo #1 - Cover A,"Welcome to an alternate 1985 where the space race never slowed down, where the push away from Earth relies on duct tape, analog computers, and unstable solid rocket fuel. It's the worst. Max, Roach, Doc, and Bear are the dregs of the cosmos. Punks. Losers. Dropouts. They make cash repossessing the starships of deadbeats who don't make their payments. When they unknowingly jack a mysterious ship, they find themselves thrust into a conflict between the US and USSR. Targeted by American cyborg assassins, mad Soviet agents, Japanese video hackers, and every degenerate space punk bounty hunter between the Earth and Moon, their apolitical nihilistic morals are put to the test, making these losers into unlikely heroes.",Comic,1985: Black Hole Repo,https://cdn.shopify.com/s/files/1/2358/6005/products/1985_01_Cover_A.jpg?v=1508342397,1
1985: Black Hole Repo #1 - Cover B,"Welcome to an alternate 1985 where the space race never slowed down, where the push away from Earth relies on duct tape, analog computers, and unstable solid rocket fuel. It's the worst. Max, Roach, Doc, and Bear are the dregs of the cosmos. Punks. Losers. Dropouts. They make cash repossessing the starships of deadbeats who don't make their payments. When they unknowingly jack a mysterious ship, they find themselves thrust into a conflict between the US and USSR. Targeted by American cyborg assassins, mad Soviet agents, Japanese video hackers, and every degenerate space punk bounty hunter between the Earth and Moon, their apolitical nihilistic morals are put to the test, making these losers into unlikely heroes.",Comic,1985: Black Hole Repo,https://cdn.shopify.com/s/files/1/2358/6005/products/1985_01_Cover_B.jpg?v=1508342425,1
Aftermath Big Clean #1 - Cover B,"Written by Kevin Molen and Matt Molen. Art and Cover by Kevin Molen. From the pages of Heavy Metal magazine, The Molen brothers, part Sam Keith/part Simon Bisely deliver an action packed punch. This ongoing series chronicles a post-apocalyptic future dominated by the cartoon empire Walden where a handful of individuals have been selected for imperial citizenship. Though veiled in celebratory excitement, this rollercoaster-centric ceremony is deadly serious - a secret final evaluation! And what all newcomers quickly learn is that behind his welcoming grin, Dewey Dog, master of the Walden empire, is quite rabid. 36 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0011.jpg?v=1519761400,1
Aftermath Big Clean #2 - Cover A,"Story, Art and Cover by Kevin Molen and Matt Molen. Introducing Chrome Dome and Khaoc! This incendiary duo is one part barroom braggart and one part edgy junkie. Follow their fight through the walls and into the streets as blood is spilled along with the beans. 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0008.jpg?v=1519761436,1
Aftermath Big Clean #2 - Cover B,"Story, Art and Cover by Kevin Molen and Matt Molen. Introducing Chrome Dome and Khaoc! This incendiary duo is one part barroom braggart and one part edgy junkie. Follow their fight through the walls and into the streets as blood is spilled along with the beans. 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0009.jpg?v=1519761473,1
Aftermath Big Clean #3 - Cover A,"Written by Michael Moreci. Art and Cover by Keith Burns. P.I. Nate McCoy is determined to avoid the long sleep. After dodging a bullet (literally), Nate, Jameson, and Alan pursue the assassin. The chase leads them to discover the truth behind Tatiana's kidnapping and a plot deeper than they could've ever imagined.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0014.jpg?v=1519761507,1
Aftermath Big Clean #3 - Cover B,"Written by Michael Moreci. Art and Cover by Keith Burns. P.I. Nate McCoy is determined to avoid the long sleep. After dodging a bullet (literally), Nate, Jameson, and Alan pursue the assassin. The chase leads them to discover the truth behind Tatiana's kidnapping and a plot deeper than they could've ever imagined.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0015.jpg?v=1519761672,1
Aftermath Big Clean #4 - Cover A,"Written by Kevin Molen and Matt Molen. Art and Cover by Kevin Molen. From the pages of Heavy Metal magazine, The Molen brothers, part Sam Keith/part Simon Bisely deliver an action packed punch. This ongoing series chronicles a post-apocalyptic future dominated by the cartoon empire Walden where a handful of individuals have been selected for imperial citizenship. Though veiled in celebratory excitement, this rollercoaster-centric ceremony is deadly serious - a secret final evaluation! And what all newcomers quickly learn is that behind his welcoming grin, Dewey Dog, master of the Walden empire, is quite rabid. 36 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/Aftermath-BigClean-coverA.jpg?v=1542222030,1
Aftermath Big Clean #5 - Cover A,"Story, Art and Cover by Kevin Molen and Matt Molen. The Governor of Lind returns to her constituency after a long weekend of conservation work. She's got the hunting trophies to prove it! After an encounter with a dangerous dissenter (and his little dog, too!), an epiphany reverberates through her mind like a gunshot on the open savanna: 'The Big Clean' is born. 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0010.jpg?v=1519761549,1
Aftermath Big Clean #5 - Cover B,"Story, Art and Cover by Kevin Molen and Matt Molen. The Governor of Lind returns to her constituency after a long weekend of conservation work. She's got the hunting trophies to prove it! After an encounter with a dangerous dissenter (and his little dog, too!), an epiphany reverberates through her mind like a gunshot on the open savanna: 'The Big Clean' is born. 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018.jpg?v=1519761583,1
